task_name task_fire task_start task_end download_start download_end execution_start execution_end upload_start upload_end
generateData.js 1563271089549 1563271131687 1563271131982 1563271131690 1563271131876 1563271131876 1563271131939 1563271131939 1563271131982
createDat.js 1563271160937 1563271207094 1563271207609 1563271207097 1563271207458 1563271207459 1563271207521 1563271207522 1563271207609
createDat.js 1563271160937 1563271206989 1563271207233 1563271206994 1563271207130 1563271207130 1563271207192 1563271207192 1563271207233
createDat.js 1563271160937 1563271207470 1563271207690 1563271207513 1563271207597 1563271207598 1563271207660 1563271207660 1563271207690
createDat.js 1563271160937 1563271205549 1563271205830 1563271205553 1563271205700 1563271205700 1563271205762 1563271205762 1563271205830
ellipsoids-openmp 1563271231649 1563271274179 1563271364144 1563271274182 1563271274435 1563271274435 1563271364003 1563271364003 1563271364144
ellipsoids-openmp 1563271231666 1563271271225 1563271365118 1563271271228 1563271271513 1563271271514 1563271364988 1563271364989 1563271365118
ellipsoids-openmp 1563271231666 1563271275523 1563271370282 1563271275569 1563271275807 1563271275807 1563271370087 1563271370087 1563271370282
ellipsoids-openmp 1563271231666 1563271276621 1563271370444 1563271276625 1563271276920 1563271276920 1563271370247 1563271370247 1563271370444
ellipsoids-openmp 1563271231649 1563271279332 1563271371011 1563271279335 1563271279642 1563271279643 1563271370797 1563271370797 1563271371011
ellipsoids-openmp 1563271231666 1563271280309 1563271371216 1563271280312 1563271280545 1563271280545 1563271370987 1563271370987 1563271371215
ellipsoids-openmp 1563271231666 1563271278455 1563271371462 1563271278457 1563271278940 1563271278940 1563271371272 1563271371272 1563271371461
ellipsoids-openmp 1563271231649 1563271280767 1563271372688 1563271280771 1563271281063 1563271281064 1563271372534 1563271372534 1563271372687
ellipsoids-openmp 1563271231649 1563271271788 1563271390842 1563271271793 1563271272032 1563271272033 1563271390643 1563271390643 1563271390842
ellipsoids-openmp 1563271231649 1563271278312 1563271396313 1563271278316 1563271278558 1563271278558 1563271396133 1563271396133 1563271396313
ellipsoids-openmp 1563271231649 1563271274509 1563271396905 1563271274512 1563271274824 1563271274825 1563271396675 1563271396676 1563271396905
ellipsoids-openmp 1563271231682 1563271280995 1563271400048 1563271280998 1563271281293 1563271281293 1563271399857 1563271399857 1563271400048
ellipsoids-openmp 1563271231682 1563271276921 1563271402579 1563271276924 1563271277184 1563271277184 1563271402389 1563271402389 1563271402579
ellipsoids-openmp 1563271231649 1563271313129 1563271404907 1563271313133 1563271313423 1563271313424 1563271404700 1563271404700 1563271404906
ellipsoids-openmp 1563271231682 1563271277478 1563271404031 1563271277481 1563271277726 1563271277726 1563271403734 1563271403734 1563271404031
ellipsoids-openmp 1563271231649 1563271282080 1563271406990 1563271282083 1563271282362 1563271282362 1563271406824 1563271406824 1563271406990
ellipsoids-openmp 1563271231649 1563271285598 1563271411681 1563271285601 1563271285857 1563271285857 1563271411434 1563271411434 1563271411681
ellipsoids-openmp 1563271231682 1563271308367 1563271422399 1563271308371 1563271308623 1563271308623 1563271422154 1563271422154 1563271422399
ellipsoids-openmp 1563271231682 1563271303262 1563271423959 1563271303265 1563271303550 1563271303550 1563271423819 1563271423819 1563271423959
mean-pack-ell 1563271398073 1563271443798 1563271444447 1563271443803 1563271444402 1563271444403 1563271444408 1563271444409 1563271444447
mean-pack-ell 1563271439854 1563271479934 1563271480534 1563271479937 1563271480461 1563271480462 1563271480496 1563271480496 1563271480534
ellipsoids-openmp 1563271231649 1563271395698 1563271481864 1563271395702 1563271395942 1563271395942 1563271481640 1563271481641 1563271481864
mean-pack-ell 1563271448597 1563271492389 1563271493017 1563271492392 1563271492945 1563271492946 1563271492952 1563271492952 1563271493016
mean-pack-ell 1563271510021 1563271556714 1563271557337 1563271556718 1563271557269 1563271557269 1563271557298 1563271557299 1563271557336
summary.js 1563271583260 1563271625224 1563271625471 1563271625274 1563271625374 1563271625375 1563271625438 1563271625438 1563271625471
