task_name task_fire task_start task_end download_start download_end execution_start execution_end upload_start upload_end
generateData.js 1559387537429 1559387537607 1559387538961 1559387537608 1559387538267 1559387538267 1559387538829 1559387538828 1559387538961
createDat.js 1559387539513 1559387539629 1559387540360 1559387539629 1559387539764 1559387539764 1559387540288 1559387540287 1559387540360
createDat.js 1559387539512 1559387539655 1559387540416 1559387539655 1559387539793 1559387539793 1559387540324 1559387540323 1559387540416
createDat.js 1559387539511 1559387539600 1559387540355 1559387539600 1559387539741 1559387539741 1559387540282 1559387540281 1559387540355
createDat.js 1559387539514 1559387539715 1559387540471 1559387539715 1559387539858 1559387539858 1559387540400 1559387540400 1559387540471
ellipsoids-openmp 1559387540825 1559387540890 1559388125077 1559387540890 1559387541920 1559387541920 1559388124560 1559388124542 1559388125077
ellipsoids-openmp 1559387540847 1559387541613 1559388137507 1559387541615 1559387543878 1559387543879 1559388136999 1559388136980 1559388137507
ellipsoids-openmp 1559387540851 1559387541590 1559388143523 1559387541591 1559387543835 1559387543835 1559388142917 1559388142917 1559388143523
ellipsoids-openmp 1559387540847 1559387541578 1559388147726 1559387541580 1559387543874 1559387543874 1559388147174 1559388147174 1559388147725
ellipsoids-openmp 1559387540846 1559387541555 1559388147650 1559387541556 1559387543582 1559387543582 1559388147142 1559388147142 1559388147650
ellipsoids-openmp 1559387540824 1559387541015 1559388156265 1559387541016 1559387542243 1559387542243 1559388155645 1559388155645 1559388156265
ellipsoids-openmp 1559387540847 1559387541634 1559388154723 1559387541636 1559387543839 1559387543839 1559388154140 1559388154140 1559388154723
mean-pack-ell 1559388157979 1559388158166 1559388160709 1559388158166 1559388160583 1559388160583 1559388160623 1559388160607 1559388160709
ellipsoids-openmp 1559387540824 1559387540932 1559388161049 1559387540932 1559387542278 1559387542278 1559388160580 1559388160580 1559388161049
ellipsoids-openmp 1559387540823 1559387541005 1559388162924 1559387541005 1559387542331 1559387542331 1559388162452 1559388162452 1559388162924
ellipsoids-openmp 1559387540825 1559387541095 1559388168414 1559387541095 1559387542121 1559387542121 1559388168061 1559388168061 1559388168414
mean-pack-ell 1559388170551 1559388170665 1559388173605 1559388170665 1559388173202 1559388173202 1559388173522 1559388173522 1559388173605
ellipsoids-openmp 1559387540831 1559387540962 1559388333156 1559387540962 1559387542506 1559387542506 1559388332608 1559388332608 1559388333156
ellipsoids-openmp 1559387540832 1559387541039 1559388330809 1559387541040 1559387542107 1559387542107 1559388330328 1559388330328 1559388330809
ellipsoids-openmp 1559387540999 1559387541208 1559388333130 1559387541209 1559387542534 1559387542534 1559388332616 1559388332616 1559388333130
ellipsoids-openmp 1559387540998 1559387541666 1559388342228 1559387541668 1559387543827 1559387543828 1559388341747 1559388341731 1559388342227
ellipsoids-openmp 1559387540997 1559387541598 1559388346260 1559387541599 1559387543753 1559387543753 1559388345714 1559388345714 1559388346260
ellipsoids-openmp 1559387540831 1559387540982 1559388346867 1559387540982 1559387541802 1559387541802 1559388346343 1559388346343 1559388346867
ellipsoids-openmp 1559387541007 1559387541195 1559388350016 1559387541197 1559387543231 1559387543231 1559388349491 1559388349472 1559388350016
ellipsoids-openmp 1559387540836 1559387541533 1559388361045 1559387541546 1559387543667 1559387543667 1559388360488 1559388360488 1559388361044
ellipsoids-openmp 1559387540836 1559387541570 1559388366347 1559387541571 1559387543823 1559387543823 1559388365943 1559388365943 1559388366347
mean-pack-ell 1559388367182 1559388367351 1559388370896 1559388367351 1559388370784 1559388370784 1559388370806 1559388370806 1559388370896
ellipsoids-openmp 1559387541005 1559387541636 1559388356678 1559387541637 1559387543731 1559387543731 1559388356092 1559388356091 1559388356678
mean-pack-ell 1559388377769 1559388377923 1559388380311 1559388377923 1559388380045 1559388380046 1559388380184 1559388380184 1559388380311
summary.js 1559388380758 1559388380867 1559388381811 1559388380868 1559388381142 1559388381142 1559388381684 1559388381684 1559388381810
