task_name task_fire task_start task_end download_start download_end execution_start execution_end upload_start upload_end
wrapper.js 1563365524747 1563365572748 1563365572976 1563365572751 1563365572869 1563365572869 1563365572936 1563365572936 1563365572976
wrapper.js 1563365524748 1563365574767 1563365574977 1563365574769 1563365574870 1563365574870 1563365574935 1563365574935 1563365574977
wrapper.js 1563365524748 1563365575356 1563365575597 1563365575359 1563365575466 1563365575466 1563365575532 1563365575532 1563365575597
wrapper.js 1563365524747 1563365574253 1563365574458 1563365574256 1563365574355 1563365574355 1563365574419 1563365574419 1563365574457
wrapper.js 1563365524748 1563365575055 1563365575267 1563365575058 1563365575157 1563365575158 1563365575221 1563365575221 1563365575266
wrapper.js 1563365524747 1563365574283 1563365574498 1563365574286 1563365574375 1563365574376 1563365574440 1563365574440 1563365574498
wrapper.js 1563365524747 1563365574273 1563365574516 1563365574277 1563365574384 1563365574385 1563365574450 1563365574450 1563365574515
wrapper.js 1563365524748 1563365572945 1563365573180 1563365572948 1563365573071 1563365573072 1563365573135 1563365573135 1563365573180
wrapper.js 1563365524747 1563365574565 1563365574769 1563365574567 1563365574668 1563365574669 1563365574732 1563365574732 1563365574768
wrapper.js 1563365524748 1563365573970 1563365574159 1563365573972 1563365574069 1563365574069 1563365574134 1563365574134 1563365574159
wrapper.js 1563365524748 1563365576943 1563365577142 1563365576946 1563365577038 1563365577039 1563365577102 1563365577102 1563365577142
wrapper.js 1563365524748 1563365577393 1563365577624 1563365577395 1563365577482 1563365577483 1563365577547 1563365577547 1563365577623
wrapper.js 1563365524748 1563365574975 1563365575163 1563365574978 1563365575064 1563365575064 1563365575127 1563365575127 1563365575163
wrapper.js 1563365524748 1563365574357 1563365574556 1563365574360 1563365574435 1563365574436 1563365574499 1563365574499 1563365574556
wrapper.js 1563365524748 1563365573382 1563365573639 1563365573385 1563365573506 1563365573507 1563365573571 1563365573571 1563365573639
wrapper.js 1563365524748 1563365572652 1563365572913 1563365572655 1563365572775 1563365572776 1563365572841 1563365572841 1563365572912
wrapper.js 1563365524748 1563365575291 1563365575527 1563365575293 1563365575405 1563365575406 1563365575470 1563365575470 1563365575527
wrapper.js 1563365524748 1563365574015 1563365574212 1563365574018 1563365574106 1563365574106 1563365574170 1563365574170 1563365574211
wrapper.js 1563365524748 1563365578429 1563365578632 1563365578431 1563365578527 1563365578527 1563365578591 1563365578591 1563365578632
wrapper.js 1563365524748 1563365578391 1563365578601 1563365578394 1563365578496 1563365578496 1563365578560 1563365578561 1563365578601
vina 1563365601931 1563365635229 1563365666718 1563365635231 1563365635400 1563365635400 1563365666664 1563365666664 1563365666717
vina 1563365601887 1563365636268 1563365667717 1563365636271 1563365636429 1563365636429 1563365667674 1563365667674 1563365667716
vina 1563365601948 1563365635275 1563365666624 1563365635277 1563365635447 1563365635448 1563365666583 1563365666584 1563365666624
vina 1563365601948 1563365637973 1563365669379 1563365637976 1563365638148 1563365638149 1563365669339 1563365669339 1563365669378
vina 1563365601925 1563365635595 1563365688402 1563365635598 1563365635768 1563365635769 1563365688360 1563365688361 1563365688402
vina 1563365601925 1563365637920 1563365690844 1563365637923 1563365638092 1563365638092 1563365690699 1563365690699 1563365690844
vina 1563365601885 1563365634184 1563365689084 1563365634186 1563365634383 1563365634383 1563365688973 1563365688973 1563365689083
vina 1563365601944 1563365636655 1563365688022 1563365636658 1563365636826 1563365636827 1563365687947 1563365687947 1563365688022
vina 1563365601931 1563365636445 1563365691368 1563365636448 1563365636619 1563365636619 1563365691298 1563365691298 1563365691368
vina 1563365601893 1563365635856 1563365687956 1563365635859 1563365636026 1563365636026 1563365687868 1563365687868 1563365687956
vina 1563365601955 1563365635251 1563365688258 1563365635254 1563365635423 1563365635423 1563365688212 1563365688213 1563365688258
vina 1563365601965 1563365638976 1563365691829 1563365638979 1563365639154 1563365639154 1563365691790 1563365691790 1563365691829
vina 1563365606716 1563365645672 1563365700650 1563365645675 1563365645849 1563365645850 1563365700605 1563365700605 1563365700650
vina 1563365601955 1563365641495 1563365697033 1563365641498 1563365641694 1563365641694 1563365696942 1563365696942 1563365697033
vina 1563365601940 1563365636302 1563365717711 1563365636306 1563365636479 1563365636479 1563365717623 1563365717623 1563365717711
vina 1563365601951 1563365635020 1563365715826 1563365635025 1563365635193 1563365635193 1563365715762 1563365715762 1563365715825
vina 1563365601925 1563365634833 1563365715966 1563365634836 1563365635009 1563365635009 1563365715879 1563365715879 1563365715966
vina 1563365601944 1563365636372 1563365717245 1563365636374 1563365636523 1563365636523 1563365717182 1563365717182 1563365717245
vina 1563365601887 1563365638440 1563365719403 1563365638442 1563365638619 1563365638620 1563365719355 1563365719355 1563365719402
vina 1563365603691 1563365644860 1563365726000 1563365644863 1563365645039 1563365645040 1563365725936 1563365725937 1563365725999
vina_split 1563365693732 1563365728189 1563365728513 1563365728192 1563365728415 1563365728416 1563365728421 1563365728421 1563365728513
vina_split 1563365694981 1563365728461 1563365728745 1563365728464 1563365728638 1563365728638 1563365728644 1563365728644 1563365728745
vina_split 1563365693736 1563365728714 1563365729027 1563365728717 1563365728912 1563365728913 1563365728917 1563365728918 1563365729027
vina_split 1563365693754 1563365731602 1563365731868 1563365731605 1563365731752 1563365731753 1563365731757 1563365731758 1563365731867
vina_split 1563365715052 1563365750083 1563365750298 1563365750086 1563365750224 1563365750224 1563365750229 1563365750229 1563365750298
vina_split 1563365715030 1563365750134 1563365750376 1563365750138 1563365750290 1563365750290 1563365750295 1563365750295 1563365750376
vina_split 1563365715034 1563365750094 1563365750377 1563365750096 1563365750249 1563365750249 1563365750254 1563365750254 1563365750376
vina_split 1563365715068 1563365750615 1563365750854 1563365750618 1563365750755 1563365750755 1563365750760 1563365750760 1563365750853
vina_split 1563365719383 1563365752572 1563365752821 1563365752574 1563365752721 1563365752721 1563365752726 1563365752726 1563365752821
vina_split 1563365715044 1563365748986 1563365749246 1563365748990 1563365749148 1563365749149 1563365749154 1563365749154 1563365749245
vina_split 1563365715034 1563365751431 1563365751691 1563365751435 1563365751581 1563365751581 1563365751586 1563365751586 1563365751691
vina_split 1563365715046 1563365753581 1563365753816 1563365753584 1563365753726 1563365753727 1563365753731 1563365753731 1563365753816
vina_split 1563365725666 1563365763458 1563365763727 1563365763461 1563365763632 1563365763632 1563365763637 1563365763637 1563365763726
vina_split 1563365725247 1563365765609 1563365765841 1563365765611 1563365765758 1563365765758 1563365765763 1563365765763 1563365765841
vina_split 1563365741614 1563365777914 1563365778179 1563365777916 1563365778087 1563365778088 1563365778092 1563365778093 1563365778178
