task_name task_fire task_start task_end download_start download_end execution_start execution_end upload_start upload_end
wrapper.js 1563354824813 1563354825409 1563354825616 1563354825410 1563354825491 1563354825491 1563354825574 1563354825574 1563354825616
wrapper.js 1563354824809 1563354825387 1563354825611 1563354825388 1563354825473 1563354825473 1563354825554 1563354825554 1563354825611
wrapper.js 1563354824801 1563354825381 1563354825595 1563354825383 1563354825463 1563354825463 1563354825548 1563354825547 1563354825594
wrapper.js 1563354824810 1563354825435 1563354825665 1563354825436 1563354825519 1563354825519 1563354825601 1563354825601 1563354825665
wrapper.js 1563354824820 1563354825467 1563354825703 1563354825468 1563354825546 1563354825547 1563354825648 1563354825647 1563354825702
wrapper.js 1563354824809 1563354825426 1563354825650 1563354825427 1563354825517 1563354825517 1563354825598 1563354825598 1563354825650
wrapper.js 1563354824811 1563354825454 1563354825715 1563354825455 1563354825542 1563354825542 1563354825646 1563354825646 1563354825715
wrapper.js 1563354824811 1563354825462 1563354825669 1563354825463 1563354825548 1563354825548 1563354825623 1563354825622 1563354825668
wrapper.js 1563354824808 1563354825412 1563354825648 1563354825413 1563354825500 1563354825500 1563354825582 1563354825582 1563354825648
wrapper.js 1563354824812 1563354825404 1563354825618 1563354825405 1563354825486 1563354825486 1563354825560 1563354825560 1563354825618
wrapper.js 1563354824812 1563354825450 1563354825668 1563354825451 1563354825541 1563354825541 1563354825625 1563354825624 1563354825667
wrapper.js 1563354824820 1563354825466 1563354825669 1563354825467 1563354825549 1563354825549 1563354825628 1563354825627 1563354825669
wrapper.js 1563354824819 1563354825425 1563354825619 1563354825426 1563354825504 1563354825504 1563354825583 1563354825583 1563354825618
wrapper.js 1563354824810 1563354825434 1563354825685 1563354825435 1563354825559 1563354825559 1563354825635 1563354825635 1563354825685
wrapper.js 1563354824821 1563354825435 1563354825645 1563354825436 1563354825525 1563354825525 1563354825601 1563354825600 1563354825645
wrapper.js 1563354824813 1563354825444 1563354825651 1563354825445 1563354825526 1563354825526 1563354825606 1563354825606 1563354825651
wrapper.js 1563354824812 1563354825435 1563354825738 1563354825436 1563354825601 1563354825601 1563354825678 1563354825678 1563354825738
wrapper.js 1563354824820 1563354825465 1563354825697 1563354825466 1563354825572 1563354825572 1563354825647 1563354825647 1563354825697
wrapper.js 1563354824821 1563354825489 1563354825766 1563354825490 1563354825625 1563354825625 1563354825701 1563354825700 1563354825765
wrapper.js 1563354824813 1563354825454 1563354825736 1563354825455 1563354825589 1563354825589 1563354825670 1563354825670 1563354825736
vina 1563354826184 1563354826356 1563354866317 1563354826356 1563354826504 1563354826504 1563354866274 1563354866274 1563354866316
vina_split 1563354866974 1563354867148 1563354867399 1563354867149 1563354867290 1563354867290 1563354867294 1563354867293 1563354867399
vina 1563354826205 1563354826334 1563354868555 1563354826334 1563354826468 1563354826468 1563354868493 1563354868493 1563354868555
vina 1563354826185 1563354826295 1563354868360 1563354826295 1563354826477 1563354826477 1563354868298 1563354868298 1563354868360
vina 1563354826185 1563354826278 1563354868349 1563354826278 1563354826413 1563354826413 1563354868309 1563354868309 1563354868349
vina_split 1563354872401 1563354872584 1563354872773 1563354872585 1563354872683 1563354872683 1563354872691 1563354872691 1563354872773
vina_split 1563354872471 1563354872547 1563354872816 1563354872547 1563354872690 1563354872690 1563354872693 1563354872693 1563354872816
vina_split 1563354872423 1563354872558 1563354872927 1563354872558 1563354872649 1563354872649 1563354872657 1563354872657 1563354872927
vina 1563354826179 1563354826288 1563354895845 1563354826289 1563354826424 1563354826424 1563354895780 1563354895780 1563354895845
vina 1563354826199 1563354826303 1563354896235 1563354826303 1563354826434 1563354826434 1563354896194 1563354896193 1563354896235
vina 1563354826186 1563354826363 1563354896280 1563354826363 1563354826567 1563354826567 1563354896197 1563354896197 1563354896280
vina 1563354826209 1563354826318 1563354896197 1563354826318 1563354826451 1563354826451 1563354896141 1563354896141 1563354896197
