task_name task_fire task_start task_end download_start download_end execution_start execution_end upload_start upload_end
software-wrapper 1564749323391 1564749324203 1564749328642 1564749324277 1564749327919 1564749327919 1564749328642 1564749328642 1564749328642
alignment_to_reference 1564749323440 1564749348127 1564749403271 1564749348133 1564749388209 1564749388209 1564749403200 1564749403200 1564749403271
alignment_to_reference 1564749323419 1564749347246 1564749398876 1564749347250 1564749383321 1564749383321 1564749398826 1564749398826 1564749398876
alignment_to_reference 1564749323419 1564749347846 1564749396661 1564749347851 1564749387767 1564749387767 1564749396603 1564749396603 1564749396660
sort_sam 1564749428267 1564749428476 1564749430091 1564749428477 1564749429610 1564749429610 1564749429989 1564749429989 1564749430091
alignment_to_reference 1564749323420 1564749348806 1564749405599 1564749348810 1564749391944 1564749391944 1564749405547 1564749405547 1564749405599
alignment_to_reference 1564749323419 1564749350046 1564749406448 1564749350051 1564749393531 1564749393532 1564749406397 1564749406398 1564749406448
dedup 1564749430646 1564749430795 1564749433348 1564749430796 1564749431986 1564749431986 1564749433274 1564749433274 1564749433348
sort_sam 1564749428237 1564749429056 1564749434106 1564749429129 1564749432782 1564749432782 1564749433935 1564749433935 1564749434106
sort_sam 1564749428287 1564749429111 1564749434183 1564749429179 1564749432865 1564749432865 1564749434040 1564749434040 1564749434183
add_replace 1564749433802 1564749434017 1564749435618 1564749434019 1564749435198 1564749435198 1564749435536 1564749435536 1564749435618
dedup 1564749434656 1564749434843 1564749437505 1564749434844 1564749436062 1564749436062 1564749437356 1564749437356 1564749437505
dedup 1564749434524 1564749434672 1564749437454 1564749434674 1564749436016 1564749436016 1564749437343 1564749437343 1564749437454
sort_sam 1564749433150 1564749433827 1564749438697 1564749433900 1564749437356 1564749437356 1564749438540 1564749438540 1564749438697
sort_sam 1564749433087 1564749433781 1564749438734 1564749433852 1564749437400 1564749437400 1564749438596 1564749438596 1564749438734
add_replace 1564749437943 1564749438142 1564749439697 1564749438143 1564749439249 1564749439249 1564749439621 1564749439621 1564749439697
add_replace 1564749437920 1564749438091 1564749439742 1564749438093 1564749439262 1564749439262 1564749439641 1564749439641 1564749439742
dedup 1564749439149 1564749439367 1564749442074 1564749439368 1564749440626 1564749440626 1564749441982 1564749441982 1564749442074
dedup 1564749439222 1564749439330 1564749442066 1564749439332 1564749440610 1564749440610 1564749441959 1564749441959 1564749442066
add_replace 1564749442583 1564749442719 1564749444306 1564749442720 1564749443858 1564749443858 1564749444226 1564749444226 1564749444306
add_replace 1564749442580 1564749442682 1564749444302 1564749442683 1564749443810 1564749443810 1564749444182 1564749444182 1564749444302
realign_target_creator 1564749440178 1564749465780 1564749583988 1564749465784 1564749505368 1564749505368 1564749583875 1564749583875 1564749583987
realign_target_creator 1564749436119 1564749460047 1564749583829 1564749460051 1564749499207 1564749499208 1564749583776 1564749583776 1564749583829
realign_target_creator 1564749440073 1564749470123 1564749595722 1564749470127 1564749513559 1564749513560 1564749595658 1564749595659 1564749595722
realign_target_creator 1564749444732 1564749467813 1564749605733 1564749467819 1564749509580 1564749509580 1564749605678 1564749605678 1564749605732
realign_target_creator 1564749444727 1564749469345 1564749607893 1564749469349 1564749510781 1564749510782 1564749607827 1564749607827 1564749607892
indel_realign 1564749607827 1564749632949 1564749679149 1564749632956 1564749672124 1564749672125 1564749679061 1564749679061 1564749679149
indel_realign 1564749607823 1564749631737 1564749684468 1564749631741 1564749671139 1564749671139 1564749684398 1564749684398 1564749684467
indel_realign 1564749624143 1564749648464 1564749701197 1564749648469 1564749687666 1564749687666 1564749701061 1564749701061 1564749701196
indel_realign 1564749629460 1564749660050 1564749700819 1564749660056 1564749694423 1564749694423 1564749700706 1564749700706 1564749700818
indel_realign 1564749634882 1564749659450 1564749713977 1564749659454 1564749700820 1564749700821 1564749713907 1564749713908 1564749713976
haplotype_caller 1564749706963 1564749731649 1564749805287 1564749731653 1564749771051 1564749771051 1564749804947 1564749804947 1564749805287
haplotype_caller 1564749706960 1564749731724 1564749809581 1564749731730 1564749771090 1564749771091 1564749809485 1564749809485 1564749809580
haplotype_caller 1564749706963 1564749730599 1564749811804 1564749730603 1564749769646 1564749769646 1564749811709 1564749811709 1564749811804
haplotype_caller 1564749706963 1564749731991 1564749813121 1564749731996 1564749773810 1564749773811 1564749812997 1564749812997 1564749813121
haplotype_caller 1564749706963 1564749729486 1564749809373 1564749729490 1564749767081 1564749767081 1564749809255 1564749809255 1564749809373
haplotype_caller 1564749706962 1564749730548 1564749809865 1564749730553 1564749766818 1564749766819 1564749809794 1564749809794 1564749809865
haplotype_caller 1564749706964 1564749729831 1564749813261 1564749729836 1564749769391 1564749769391 1564749813161 1564749813161 1564749813261
haplotype_caller 1564749706964 1564749729850 1564749809406 1564749729855 1564749768120 1564749768121 1564749809318 1564749809318 1564749809405
haplotype_caller 1564749706962 1564749731236 1564749806059 1564749731240 1564749770633 1564749770633 1564749805986 1564749805986 1564749806058
